Algorithm,keygen(maxHeap),keygen(maxStack),sign(maxHeap),sign(maxStack),verify(maxHeap),verify(maxStack)
Dilithium2 (x86_64),12576,20648,11584,49016,11360,21624
Dilithium2 (x86_64-ref),12576,39016,15320,51408,10528,36776
Dilithium3 (x86_64),14688,25768,14569,78872,14345,24728
Dilithium3 (x86_64-ref),14688,61544,18305,79056,13513,58280
Dilithium5 (x86_64),16192,33960,21111,108160,17151,31128
Dilithium5 (x86_64-ref),16192,97312,21111,122064,16319,93352
Falcon-1024 (x86_64),12834,35880,14214,82960,9646,10216
Falcon-1024 (x86_64-ref),12834,35880,14214,82960,9870,10536
Falcon-512 (x86_64),10914,18984,11680,42000,11680,2088
Falcon-512 (x86_64-ref),10914,18984,11680,42000,11680,2088
SPHINCS+-SHA2-128f-simple (x86_64),239847,17832,257035,17224,257035,7912
SPHINCS+-SHA2-128f-simple (x86_64-ref),241106,1808,258294,1968,258294,2600
SPHINCS+-SHA2-128s-simple (x86_64),239847,18696,247803,17992,249969,3424
SPHINCS+-SHA2-128s-simple (x86_64-ref),241106,1808,249062,1968,249062,2576
SPHINCS+-SHA2-192f-simple (x86_64),240183,27736,275947,24904,276235,8200
SPHINCS+-SHA2-192f-simple (x86_64-ref),240367,5656,280515,1168,276235,6152
SPHINCS+-SHA2-192s-simple (x86_64),240183,29016,256507,26056,256507,9704
SPHINCS+-SHA2-192s-simple (x86_64-ref),240471,9096,256795,6152,257478,3320
SPHINCS+-SHA2-256f-simple (x86_64),240231,44056,290187,40232,290475,8840
SPHINCS+-SHA2-256f-simple (x86_64-ref),240519,10248,290475,8200,290475,8200
SPHINCS+-SHA2-256s-simple (x86_64),240231,45208,270123,41256,272001,5888
SPHINCS+-SHA2-256s-simple (x86_64-ref),240519,10248,270411,8200,272001,4240
SPHINCS+-SHAKE-128f-simple (x86_64),5096,9752,22284,8936,26020,2072
SPHINCS+-SHAKE-128f-simple (x86_64-ref),8832,2008,26020,2072,26020,2072
SPHINCS+-SHAKE-128s-simple (x86_64),5096,10264,13052,9320,16788,2072
SPHINCS+-SHAKE-128s-simple (x86_64-ref),8832,2008,16788,2072,16788,2072
SPHINCS+-SHAKE-192f-simple (x86_64),5144,16024,40908,14504,44644,2072
SPHINCS+-SHAKE-192f-simple (x86_64-ref),8880,2072,44644,2072,44644,2072
SPHINCS+-SHAKE-192s-simple (x86_64),5144,16792,21468,15080,25204,2072
SPHINCS+-SHAKE-192s-simple (x86_64-ref),8880,2072,25204,2072,25204,2072
SPHINCS+-SHAKE-256f-simple (x86_64),5192,24792,55148,22248,58884,2072
SPHINCS+-SHAKE-256f-simple (x86_64-ref),4584,8304,58884,2072,58884,2072
SPHINCS+-SHAKE-256s-simple (x86_64),5192,25128,35084,22760,38820,2072
SPHINCS+-SHAKE-256s-simple (x86_64-ref),4584,8560,38820,2072,38820,2072
