Algorithm,keypair/s,keypair(cycles),sign/s,sign(cycles),verify/s,verify(cycles)
Dilithium2 (x86_64),27677,90196,10494,238104,28666.67,87135
Dilithium2 (x86_64-ref),9605,260163,2079.33,1202283,8840.67,282710
Dilithium2 (x86_64-noport),34077.33,73237,11935.33,209322,33520.67,74503
Dilithium3 (x86_64),16309.33,153147,6614.33,377834,17231,145010
Dilithium3 (x86_64-ref),5250.67,476035,1310.9,1907163,5586,447472
Dilithium3 (x86_64-noport),20184.67,123720,7280.33,343252,20632.67,121054
Dilithium5 (x86_64),10124.33,246798,5228.33,478051,10620,235322
Dilithium5 (x86_64-ref),3558,702565,1100.67,2271349,3422.33,730433
Dilithium5 (x86_64-noport),12740.67,196087,6173.33,404848,12950.67,192957
Falcon-1024 (x86_64),38.05,65696670,1393.67,1793962,8569,291663
Falcon-1024 (x86_64-ref),17.57,142266580,80.59,31022080,8302.67,301002
Falcon-1024 (x86_64-noport),39.97,62546502,1463,1708750,8088.67,308994
Falcon-512 (x86_64),113.26,22070740,2813.33,888493,17367,143873
Falcon-512 (x86_64-ref),52.6,47525672,176.71,14145857,17232.67,144965
Falcon-512 (x86_64-noport),116.88,21390454,2988.67,836367,17334,144138
SPHINCS+-SHA2-128f-simple (x86_64),2665.67,937740,113.77,21971364,1292,1934923
SPHINCS+-SHA2-128f-simple (x86_64-ref),559,4472816,23.9,104633301,389.87,6413122
SPHINCS+-SHA2-128f-simple (x86_64-noport),3153.67,792671,133.36,18749718,1522.83,1641352
SPHINCS+-SHA2-128s-simple (x86_64),42.52,58790608,5.59,447566377,3471.33,720142
SPHINCS+-SHA2-128s-simple (x86_64-ref),8.74,286063512,1.15,2173379157,1161.28,2152482
SPHINCS+-SHA2-128s-simple (x86_64-noport),50.03,49968245,6.57,380401205,3739.67,668436
SPHINCS+-SHA2-192f-simple (x86_64),1778.67,1405622,65.41,38222395,917.69,2724106
SPHINCS+-SHA2-192f-simple (x86_64-ref),382.41,6537011,14.53,172042956,282.05,8864207
SPHINCS+-SHA2-192f-simple (x86_64-noport),2159.67,1157622,80.7,30974650,1061.98,2353758
SPHINCS+-SHA2-192s-simple (x86_64),28.07,89059004,2.91,860013145,2243.33,1114466
SPHINCS+-SHA2-192s-simple (x86_64-ref),6.01,415945515,0.65,3838839529,785.33,3183667
SPHINCS+-SHA2-192s-simple (x86_64-noport),33.99,73563846,3.58,698881028,2458.67,1016802
SPHINCS+-SHA2-256f-simple (x86_64),669.11,3735827,31.65,78994276,898.7,2781320
SPHINCS+-SHA2-256f-simple (x86_64-ref),146.24,17096227,7.12,351159453,276,9058974
SPHINCS+-SHA2-256f-simple (x86_64-noport),811,3082659,39.2,63779744,1036.99,2410611
SPHINCS+-SHA2-256s-simple (x86_64),41.87,59691881,3.18,786271903,1554.15,1608289
SPHINCS+-SHA2-256s-simple (x86_64-ref),9.12,274011164,0.74,3398366353,528.33,4732195
SPHINCS+-SHA2-256s-simple (x86_64-noport),50.93,49088842,4.01,623778712,1772.08,1410449
SPHINCS+-SHAKE-128f-simple (x86_64),1363.33,1833748,58.18,42974886,811.06,3081903
SPHINCS+-SHAKE-128f-simple (x86_64-ref),367.88,6794911,15.76,158621503,258.49,9671101
SPHINCS+-SHAKE-128f-simple (x86_64-noport),1964.33,1272725,83.92,29795784,1056.98,2364864
SPHINCS+-SHAKE-128s-simple (x86_64),21.42,116740248,2.81,888251391,2195.67,1138658
SPHINCS+-SHAKE-128s-simple (x86_64-ref),5.71,437908877,0.75,3327704827,770.41,3244622
SPHINCS+-SHAKE-128s-simple (x86_64-noport),30.71,81395628,4.05,617718123,2768.67,902949
SPHINCS+-SHAKE-192f-simple (x86_64),946,2642995,36.53,68422742,598.67,4176312
SPHINCS+-SHAKE-192f-simple (x86_64-ref),243.25,10278489,9.39,266097622,181.36,13784491
SPHINCS+-SHAKE-192f-simple (x86_64-noport),1348.22,1853934,52.12,47966108,781.41,3199369
SPHINCS+-SHAKE-192s-simple (x86_64),14.62,171001674,1.64,1520744464,1587.67,1574562
SPHINCS+-SHAKE-192s-simple (x86_64-ref),3.91,639043158,0.43,1453666981,515,4854257
SPHINCS+-SHAKE-192s-simple (x86_64-noport),21.12,118396124,2.35,1064023778,1984.67,1259717
SPHINCS+-SHAKE-256f-simple (x86_64),355.21,7037921,17.69,141324952,562,4448673
SPHINCS+-SHAKE-256f-simple (x86_64-ref),91.03,27461571,4.53,552397622,169.22,14771293
SPHINCS+-SHAKE-256f-simple (x86_64-noport),508.33,4918137,25.27,98925252,749.08,3337601
SPHINCS+-SHAKE-256s-simple (x86_64),22.28,112216744,1.88,1332316953,1064.67,2348021
SPHINCS+-SHAKE-256s-simple (x86_64-ref),5.7,438544945,0.48,936790172,342.44,7301074
SPHINCS+-SHAKE-256s-simple (x86_64-noport),31.85,78488275,2.68,933096709,1386.67,1803039
